Date,Ticker,Action,Price,Shares
2023-01-05,ADANIPORTS.NS,BUY,801.2611694335938,12455
2023-01-30,ADANIPORTS.NS,SELL,610.2597045898438,12455
2023-01-30,ADANIENT.NS,BUY,2846.095947265625,380
2023-01-30,ASIANPAINT.NS,BUY,2642.260986328125,409
2023-01-30,BAJAJFINSV.NS,BUY,1318.6295166015625,820
2023-01-30,BEL.NS,BUY,89.34557342529297,12105
2023-01-30,EICHERMOT.NS,BUY,3051.778564453125,354
2023-01-30,ICICIBANK.NS,BUY,780.6724243164062,1385
2023-01-30,TITAN.NS,BUY,2309.936279296875,468
2023-01-31,ADANIENT.NS,SELL,2975.917724609375,380
2023-01-31,BEL.NS,SELL,86.79833984375,12105
2023-01-31,ADANIPORTS.NS,BUY,590.5738525390625,1228
2023-01-31,SBIN.NS,BUY,515.44384765625,1407
2023-01-31,TRENT.NS,BUY,1176.78955078125,616
2023-02-01,ADANIPORTS.NS,SELL,617.1497192382812,1228
2023-02-01,TRENT.NS,SELL,1200.3681640625,616
2023-02-01,ADANIENT.NS,BUY,2990.89697265625,498
2023-02-02,ADANIENT.NS,SELL,2345.6328125,498
2023-02-02,SBIN.NS,SELL,491.9888000488281,1407
2023-02-02,ADANIPORTS.NS,BUY,501.98785400390625,1848
2023-02-02,DRREDDY.NS,BUY,845.5056762695312,1097
2023-02-03,ADANIPORTS.NS,SELL,451.78900146484375,1848
2023-02-03,BAJFINANCE.NS,BUY,568.1826171875,731
2023-02-03,TRENT.NS,BUY,1213.3289794921875,342
2023-02-06,BAJFINANCE.NS,SELL,590.8312377929688,731
2023-02-06,SBIN.NS,BUY,528.4954833984375,816
2023-02-07,BAJAJFINSV.NS,SELL,1342.939697265625,820
2023-02-07,ADANIPORTS.NS,BUY,541.3594360351562,2026
2023-02-08,ADANIPORTS.NS,SELL,555.139404296875,2026
2023-02-08,ADANIENT.NS,BUY,1867.2886962890625,150
2023-02-08,BAJAJFINSV.NS,BUY,1354.7200927734375,206
2023-02-08,HINDALCO.NS,BUY,423.64434814453125,661
2023-02-08,TATASTEEL.NS,BUY,103.3848876953125,2709
2023-02-09,ADANIENT.NS,SELL,2165.030029296875,150
2023-02-09,HINDALCO.NS,SELL,428.54766845703125,661
2023-02-09,TATASTEEL.NS,SELL,104.03424072265625,2709
2023-02-09,ADANIPORTS.NS,BUY,578.024169921875,1535
2023-02-10,ADANIPORTS.NS,SELL,564.5885620117188,1535
2023-02-10,ADANIENT.NS,BUY,1766.57666015625,244
2023-02-10,TATASTEEL.NS,BUY,102.96746063232422,4193
2023-02-13,ADANIENT.NS,SELL,1847.4658203125,244
2023-02-13,TATASTEEL.NS,SELL,100.92666625976562,4193
2023-02-13,ADANIPORTS.NS,BUY,578.6640014648438,752
2023-02-13,HINDALCO.NS,BUY,426.09600830078125,1022
2023-02-14,HINDALCO.NS,SELL,421.1927490234375,1022
2023-02-14,ADANIENT.NS,BUY,1732.6234130859375,82
2023-02-14,TATASTEEL.NS,BUY,101.62239074707031,1408
2023-02-14,WIPRO.NS,BUY,188.48423767089844,759
2023-02-15,ADANIENT.NS,SELL,1777.5616455078125,82
2023-02-15,TATASTEEL.NS,SELL,101.11219024658203,1408
2023-02-16,ADANIENT.NS,BUY,1817.5068359375,52
2023-02-16,HINDALCO.NS,BUY,428.4495849609375,224
2023-02-16,TATASTEEL.NS,BUY,102.96746063232422,932
2023-02-17,ADANIENT.NS,SELL,1797.5343017578125,52
2023-02-17,HINDALCO.NS,SELL,426.3411865234375,224
2023-02-17,TATASTEEL.NS,SELL,103.4776611328125,932
2023-02-20,ADANIPORTS.NS,SELL,558.3876342773438,752
2023-02-20,ADANIENT.NS,BUY,1647.73974609375,213
2023-02-20,HINDALCO.NS,BUY,421.5849609375,835
2023-02-21,ADANIENT.NS,SELL,1623.772705078125,213
2023-02-21,HINDALCO.NS,SELL,429.28314208984375,835
2023-02-21,ADANIPORTS.NS,BUY,575.8095703125,610
2023-02-21,CIPLA.NS,BUY,943.827392578125,372
2023-02-22,ADANIPORTS.NS,SELL,574.3331909179688,610
2023-02-22,ADANIENT.NS,BUY,1532.8974609375,227
2023-02-23,ADANIENT.NS,SELL,1378.1097412109375,227
2023-02-23,EICHERMOT.NS,SELL,3153.08251953125,354
2023-02-23,ADANIPORTS.NS,BUY,531.0243530273438,1341
2023-02-23,BAJFINANCE.NS,BUY,611.9041748046875,1164
2023-02-24,BAJFINANCE.NS,SELL,615.8184204101562,1164
2023-02-24,ADANIENT.NS,BUY,1408.0684814453125,253
2023-02-24,RELIANCE.NS,BUY,1082.81005859375,329
2023-02-27,ADANIENT.NS,SELL,1298.21923828125,253
2023-02-27,RELIANCE.NS,SELL,1087.375,329
2023-02-27,HINDALCO.NS,BUY,406.97320556640625,1683
2023-02-28,HINDALCO.NS,SELL,405.502197265625,1683
2023-02-28,ADANIENT.NS,BUY,1143.4315185546875,148
2023-02-28,BAJAJ-AUTO.NS,BUY,3423.448974609375,49
2023-02-28,RELIANCE.NS,BUY,1075.5516357421875,158
2023-02-28,ULTRACEMCO.NS,BUY,7062.4599609375,24
2023-03-01,ADANIENT.NS,SELL,1422.04931640625,148
2023-03-01,ADANIPORTS.NS,SELL,588.6052856445312,1341
2023-03-01,RELIANCE.NS,SELL,1070.028076171875,158
2023-03-01,HINDALCO.NS,BUY,394.224609375,1481
2023-03-01,TATASTEEL.NS,BUY,97.12335205078125,6011
2023-03-02,HINDALCO.NS,SELL,406.97314453125,1481
2023-03-02,TATASTEEL.NS,SELL,98.37567138671875,6011
2023-03-02,ADANIENT.NS,BUY,1497.8453369140625,397
2023-03-02,RELIANCE.NS,BUY,1066.8326416015625,557
2023-03-03,ADANIENT.NS,SELL,1686.5364990234375,397
2023-03-03,RELIANCE.NS,SELL,1072.3790283203125,557
2023-03-03,HINDALCO.NS,BUY,405.2080078125,1557
2023-03-03,INFY.NS,BUY,1363.5390625,462
2023-03-06,HINDALCO.NS,SELL,410.89581298828125,1557
2023-03-10,ADANIPORTS.NS,BUY,674.0416259765625,947
2023-03-13,ADANIPORTS.NS,SELL,692.644775390625,947
2023-03-13,HINDALCO.NS,BUY,401.0892333984375,814
2023-03-13,TATACONSUM.NS,BUY,687.5492553710938,475
2023-03-14,HINDALCO.NS,SELL,396.4801025390625,814
2023-03-14,ADANIPORTS.NS,BUY,670.4982299804688,160
2023-03-14,INDUSINDBK.NS,BUY,1037.0828857421875,103
2023-03-14,M&M.NS,BUY,1162.0224609375,92
2023-03-17,M&M.NS,SELL,1143.1151123046875,92
2023-03-17,ADANIENT.NS,BUY,1898.39599609375,18
2023-03-17,HINDALCO.NS,BUY,381.72125244140625,92
2023-03-17,JSWSTEEL.NS,BUY,660.22607421875,53
2023-03-20,ADANIENT.NS,SELL,1834.483642578125,18
2023-03-20,HINDALCO.NS,SELL,386.13421630859375,92
2023-03-20,RELIANCE.NS,BUY,1011.1400146484375,69
2023-03-21,RELIANCE.NS,SELL,1012.943115234375,69
2023-03-21,ADANIENT.NS,BUY,1834.4334716796875,12
2023-03-21,EICHERMOT.NS,BUY,2865.10400390625,8
2023-03-21,HINDALCO.NS,BUY,380.20123291015625,61
2023-03-22,ADANIENT.NS,SELL,1831.487548828125,12
2023-03-22,HINDALCO.NS,SELL,382.5548095703125,61
2023-03-23,ADANIENT.NS,BUY,1791.54248046875,13
2023-03-23,HINDALCO.NS,BUY,379.5147399902344,61
2023-03-24,ADANIENT.NS,SELL,1793.5396728515625,13
2023-03-24,HINDALCO.NS,SELL,393.0478210449219,61
2023-03-24,LT.NS,BUY,2144.172607421875,22
2023-03-29,CIPLA.NS,SELL,870.0087890625,372
2023-03-29,ADANIENT.NS,BUY,1600.7540283203125,100
2023-03-29,BAJFINANCE.NS,BUY,547.71533203125,294
2023-03-31,ADANIENT.NS,SELL,1785.55078125,100
2023-03-31,BAJFINANCE.NS,SELL,560.6988525390625,294
2023-03-31,HEROMOTOCO.NS,BUY,2095.995361328125,81
2023-03-31,TATASTEEL.NS,BUY,97.40164947509766,1763
2023-04-03,HEROMOTOCO.NS,SELL,2159.60693359375,81
2023-04-03,TATASTEEL.NS,SELL,97.49441528320312,1763
2023-04-03,ADANIENT.NS,BUY,1748.0521240234375,198
2023-04-05,ADANIENT.NS,SELL,1715.097412109375,198
2023-04-06,ADANIENT.NS,BUY,1702.664306640625,199
2023-04-10,ADANIENT.NS,SELL,1771.56982421875,199
2023-04-11,ADANIENT.NS,BUY,1807.5206298828125,194
2023-04-12,ADANIENT.NS,SELL,1811.51513671875,194
2023-04-13,ULTRACEMCO.NS,SELL,7576.75146484375,24
2023-04-13,ADANIENT.NS,BUY,1852.4588623046875,287
2023-04-17,ADANIENT.NS,SELL,1868.1873779296875,287
2023-04-18,ADANIENT.NS,BUY,1889.408203125,282
2023-04-19,ADANIENT.NS,SELL,1844.4698486328125,282
2023-04-20,ADANIENT.NS,BUY,1852.4588623046875,280
2023-04-21,ADANIENT.NS,SELL,1843.4710693359375,280
2023-04-24,ADANIENT.NS,BUY,1801.5286865234375,286
2023-04-25,ADANIENT.NS,SELL,1803.5260009765625,286
2023-04-25,CIPLA.NS,BUY,880.37353515625,583
2023-05-16,INFY.NS,SELL,1160.1663818359375,462
2023-05-16,ADANIENT.NS,BUY,1924.3603515625,277
2023-05-17,ADANIENT.NS,SELL,1897.397216796875,277
2023-05-17,INFY.NS,BUY,1156.1307373046875,454
2023-05-18,INFY.NS,SELL,1154.296630859375,454
2023-05-18,ADANIENT.NS,BUY,1907.4334716796875,273
2023-05-19,ADANIENT.NS,SELL,1885.413818359375,273
2023-05-19,ADANIPORTS.NS,SELL,653.5684204101562,160
